ISCO-08,ONET-SOC,Job title
1349,29-2011.00,Medical and Clinical Laboratory Technologists
1349,31-9097.00,Phlebotomists
1349,25-4011.00,Archivists
1349,25-4012.00,Curators
1349,25-4013.00,Museum Technicians and Conservators
1349,27-3042.00,Technical Writers
1349,43-9031.00,Desktop Publishers
1349,53-1041.00,Aircraft Cargo Handling Supervisors
1349,53-2022.00,Airfield Operations Specialists
1349,11-9161.00,Emergency Management Directors
1349,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
1349,23-1011.00,Lawyers
1349,23-2011.00,Paralegals and Legal Assistants
1349,27-2022.00,Coaches and Scouts
1349,31-9099.01,Speech-Language Pathology Assistants
1349,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
1349,27-2012.03,Media Programming Directors
1349,11-9041.00,Architectural and Engineering Managers
1349,27-3041.00,Editors
1349,27-3043.00,Writers and Authors
1349,43-9081.00,Proofreaders and Copy Markers
1349,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
1349,33-2011.00,Firefighters
1349,33-2021.00,Fire Inspectors and Investigators
1349,33-2022.00,Forest Fire Inspectors and Prevention Specialists
1349,27-1026.00,Merchandise Displayers and Window Trimmers
1349,11-3013.00,Facilities Managers
1349,21-1092.00,Probation Officers and Correctional Treatment Specialists
1349,33-3012.00,Correctional Officers and Jailers
1411,11-9081.00,Lodging Managers
1411,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
1411,13-1121.00,"Meeting, Convention, and Event Planners"
1411,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
1411,39-3091.00,Amusement and Recreation Attendants
1411,39-9032.00,Recreation Workers
1411,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
1412,11-9051.00,Food Service Managers
1412,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
1412,35-3011.00,Bartenders
1420,41-1011.00,First-Line Supervisors of Retail Sales Workers
1420,11-2022.00,Sales Managers
1420,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
1420,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
1420,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
1420,29-1041.00,Optometrists
1420,29-2057.00,Ophthalmic Medical Technicians
1420,29-2081.00,"Opticians, Dispensing"
1420,27-1023.00,Floral Designers
1420,29-1181.00,Audiologists
1420,51-3011.00,Bakers
1431,11-9071.00,Gambling Managers
1431,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
1431,11-9179.01,Fitness and Wellness Coordinators
1431,11-9179.02,Spa Managers
1431,27-2012.05,Media Technical Directors/Managers
1431,11-3013.00,Facilities Managers
1431,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
1431,39-3091.00,Amusement and Recreation Attendants
1431,39-9032.00,Recreation Workers
1431,39-1022.00,First-Line Supervisors of Personal Service Workers
1431,39-5093.00,Shampooers
1431,39-1013.00,First-Line Supervisors of Gambling Services Workers
1431,39-3011.00,Gambling Dealers
1431,39-3012.00,Gambling and Sports Book Writers and Runners
1431,41-2012.00,Gambling Change Persons and Booth Cashiers
1431,43-3041.00,Gambling Cage Workers
1431,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
1431,19-1023.00,Zoologists and Wildlife Biologists
1431,25-4012.00,Curators
1439,39-1022.00,First-Line Supervisors of Personal Service Workers
1439,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
1439,43-2021.00,Telephone Operators
1439,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
1439,11-9081.00,Lodging Managers
1439,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
1439,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
1439,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
1439,51-6011.00,Laundry and Dry-Cleaning Workers
1439,39-7012.00,Travel Guides
1439,39-7011.00,Tour Guides and Escorts
2111,19-2011.00,Astronomers
2111,19-2012.00,Physicists
2111,15-2021.00,Mathematicians
2111,19-2099.01,Remote Sensing Scientists and Technologists
2111,17-2112.01,Human Factors Engineers and Ergonomists
2111,17-2199.09,Nanosystems Engineers
2111,19-2032.00,Materials Scientists
2111,25-1054.00,"Physics Teachers, Postsecondary"
2112,19-2021.00,Atmospheric and Space Scientists
2112,19-2099.01,Remote Sensing Scientists and Technologists
2112,17-3028.00,Calibration Technologists and Technicians
2113,19-2031.00,Chemists
2113,17-2041.00,Chemical Engineers
2113,19-4031.00,Chemical Technicians
2113,19-4099.01,Quality Control Analysts
2113,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
2113,19-1012.00,Food Scientists and Technologists
2114,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
2114,19-2043.00,Hydrologists
2114,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
2114,17-2081.00,Environmental Engineers
2114,19-1031.00,Conservation Scientists
2114,19-2041.00,"Environmental Scientists and Specialists, Including Health"
2114,19-2099.01,Remote Sensing Scientists and Technologists
2114,19-4099.03,Remote Sensing Technicians
2114,11-9121.02,Water Resource Specialists
2114,17-2051.02,Water/Wastewater Engineers
2114,19-4044.00,Hydrologic Technicians
2114,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
2114,47-5081.00,Helpers--Extraction Workers
2114,19-1023.00,Zoologists and Wildlife Biologists
2114,19-1029.04,Biologists
2114,19-2032.00,Materials Scientists
2120,15-2011.00,Actuaries
2120,15-2021.00,Mathematicians
2120,15-2031.00,Operations Research Analysts
2120,15-2041.00,Statisticians
2120,15-2041.01,Biostatisticians
2120,19-3022.00,Survey Researchers
2120,13-2054.00,Financial Risk Specialists
2120,13-2099.01,Financial Quantitative Analysts
2120,43-9111.00,Statistical Assistants
2120,19-4061.00,Social Science Research Assistants
2120,15-1252.00,Software Developers
2120,15-2099.00,"Mathematical Science Occupations, All Other"
2120,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
2120,19-2012.00,Physicists
2120,25-1022.00,"Mathematical Science Teachers, Postsecondary"
2120,15-2051.00,Data Scientists
2120,15-1221.00,Computer and Information Research Scientists
2120,19-1029.01,Bioinformatics Scientists
2120,19-1041.00,Epidemiologists
213,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2131,19-1011.00,Animal Scientists
2131,19-1013.00,Soil and Plant Scientists
2131,19-1021.00,Biochemists and Biophysicists
2131,19-1022.00,Microbiologists
2131,19-1023.00,Zoologists and Wildlife Biologists
2131,19-1029.01,Bioinformatics Scientists
2131,19-1029.02,Molecular and Cellular Biologists
2131,19-1029.03,Geneticists
2131,19-1029.04,Biologists
2131,19-1041.00,Epidemiologists
2131,19-1042.00,"Medical Scientists, Except Epidemiologists"
2131,29-9092.00,Genetic Counselors
2131,29-1031.00,Dietitians and Nutritionists
2131,15-1221.00,Computer and Information Research Scientists
2131,15-2021.00,Mathematicians
2131,15-2041.00,Statisticians
2131,15-2041.01,Biostatisticians
2131,15-2099.01,Bioinformatics Technicians
2131,17-2031.00,Bioengineers and Biomedical Engineers
2131,19-4021.00,Biological Technicians
2131,29-2011.01,Cytogenetic Technologists
2131,19-3039.02,Neuropsychologists
2131,29-1212.00,Cardiologists
2131,29-1215.00,Family Medicine Physicians
2131,29-1216.00,General Internal Medicine Physicians
2131,29-1222.00,"Physicians, Pathologists"
2131,29-2011.00,Medical and Clinical Laboratory Technologists
2131,13-1041.07,Regulatory Affairs Specialists
2131,17-3026.01,Nanotechnology Engineering Technologists and Technicians
2131,19-2031.00,Chemists
2131,17-2199.09,Nanosystems Engineers
2131,19-2012.00,Physicists
2131,27-1023.00,Floral Designers
2131,17-1012.00,Landscape Architects
2131,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
2131,37-3011.00,Landscaping and Groundskeeping Workers
2131,11-9121.01,Clinical Research Coordinators
2131,19-4061.00,Social Science Research Assistants
2131,21-1091.00,Health Education Specialists
2131,29-1229.01,Allergists and Immunologists
2131,19-1031.00,Conservation Scientists
2131,19-4044.00,Hydrologic Technicians
2131,19-1012.00,Food Scientists and Technologists
2131,19-4013.00,Food Science Technicians
2132,19-4012.01,Precision Agriculture Technicians
2132,17-2021.00,Agricultural Engineers
2132,19-1013.00,Soil and Plant Scientists
2132,19-4012.00,Agricultural Technicians
2132,45-2011.00,Agricultural Inspectors
2132,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
2132,19-1023.00,Zoologists and Wildlife Biologists
2132,19-1031.02,Range Managers
2132,19-1032.00,Foresters
2132,19-4071.00,Forest and Conservation Technicians
2132,33-2022.00,Forest Fire Inspectors and Prevention Specialists
2132,37-3013.00,Tree Trimmers and Pruners
2132,45-4011.00,Forest and Conservation Workers
2133,13-1199.05,Sustainability Specialists
2133,19-1031.00,Conservation Scientists
2133,19-2041.00,"Environmental Scientists and Specialists, Including Health"
2133,19-2041.02,Environmental Restoration Planners
2133,19-2041.03,Industrial Ecologists
2133,33-3031.00,Fish and Game Wardens
2133,11-9121.02,Water Resource Specialists
2133,17-2081.00,Environmental Engineers
2133,19-1013.00,Soil and Plant Scientists
2133,19-2043.00,Hydrologists
2133,11-1011.03,Chief Sustainability Officers
2133,17-2051.02,Water/Wastewater Engineers
2133,19-1023.00,Zoologists and Wildlife Biologists
2133,19-1031.02,Range Managers
2133,19-1031.03,Park Naturalists
2133,19-1032.00,Foresters
2133,19-4044.00,Hydrologic Technicians
2133,19-4071.00,Forest and Conservation Technicians
2133,45-4011.00,Forest and Conservation Workers
2133,13-1041.01,Environmental Compliance Inspectors
2133,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
2133,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
2133,11-9121.00,Natural Sciences Managers
2133,45-3031.00,Fishing and Hunting Workers
2141,13-1081.00,Logisticians
2141,13-1081.02,Logistics Analysts
2141,17-2112.00,Industrial Engineers
2141,17-2112.03,Manufacturing Engineers
2141,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other"
2141,17-2041.00,Chemical Engineers
2141,17-3026.00,Industrial Engineering Technologists and Technicians
2141,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
2141,13-1041.07,Regulatory Affairs Specialists
2141,17-2112.02,Validation Engineers
2141,17-2141.02,Automotive Engineers
2141,15-2031.00,Operations Research Analysts
2141,13-1082.00,Project Management Specialists
2141,17-2199.05,Mechatronics Engineers
2141,17-2199.08,Robotics Engineers
2141,17-3024.01,Robotics Technicians
2141,19-1012.00,Food Scientists and Technologists
2141,19-4013.00,Food Science Technicians
2141,17-2131.00,Materials Engineers
2141,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
2141,43-5061.00,"Production, Planning, and Expediting Clerks"
2141,11-3071.04,Supply Chain Managers
2141,13-1081.01,Logistics Engineers
2141,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
2141,11-3051.00,Industrial Production Managers
2142,17-2051.00,Civil Engineers
2142,17-2051.01,Transportation Engineers
2142,17-2051.02,Water/Wastewater Engineers
2142,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
2142,17-1011.00,"Architects, Except Landscape and Naval"
2142,17-3022.00,Civil Engineering Technologists and Technicians
2142,19-3051.00,Urban and Regional Planners
2142,19-3099.01,Transportation Planners
2142,11-9121.02,Water Resource Specialists
2142,19-2043.00,Hydrologists
2142,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
2142,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
2142,11-3051.04,Biomass Power Plant Managers
2142,11-3051.06,Hydroelectric Production Managers
2142,11-9199.09,Wind Energy Operations Managers
2142,17-2199.03,"Energy Engineers, Except Wind and Solar"
2142,17-2199.10,Wind Energy Engineers
2142,19-4044.00,Hydrologic Technicians
2142,53-6041.00,Traffic Technicians
2143,11-1011.03,Chief Sustainability Officers
2143,11-9121.02,Water Resource Specialists
2143,17-2081.00,Environmental Engineers
2143,19-2041.00,"Environmental Scientists and Specialists, Including Health"
2143,53-1042.01,Recycling Coordinators
2143,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
2143,17-2051.02,Water/Wastewater Engineers
2143,17-3025.00,Environmental Engineering Technologists and Technicians
2143,19-2041.02,Environmental Restoration Planners
2143,19-2041.03,Industrial Ecologists
2143,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
2143,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
2143,13-1199.05,Sustainability Specialists
2143,53-7062.04,Recycling and Reclamation Workers
2143,13-1041.01,Environmental Compliance Inspectors
2144,17-2011.00,Aerospace Engineers
2144,17-2021.00,Agricultural Engineers
2144,17-2141.00,Mechanical Engineers
2144,17-2141.02,Automotive Engineers
2144,17-2199.05,Mechatronics Engineers
2144,17-3027.00,Mechanical Engineering Technologists and Technicians
2144,17-2141.01,Fuel Cell Engineers
2144,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
2144,17-2112.01,Human Factors Engineers and Ergonomists
2144,17-2199.10,Wind Energy Engineers
2144,17-3027.01,Automotive Engineering Technicians
2144,17-2121.00,Marine Engineers and Naval Architects
2144,53-5031.00,Ship Engineers
2144,17-2199.08,Robotics Engineers
2144,17-3024.01,Robotics Technicians
2144,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
2144,17-1011.00,"Architects, Except Landscape and Naval"
2144,17-2199.07,Photonics Engineers
2144,17-3029.08,Photonics Technicians
2144,17-2112.00,Industrial Engineers
2144,17-2071.00,Electrical Engineers
2144,17-2112.03,Manufacturing Engineers
2144,19-1013.00,Soil and Plant Scientists
2144,19-4012.00,Agricultural Technicians
2144,19-4012.01,Precision Agriculture Technicians
2144,45-2011.00,Agricultural Inspectors
2144,45-2091.00,Agricultural Equipment Operators
2144,51-8021.00,Stationary Engineers and Boiler Operators
2144,49-9094.00,Locksmiths and Safe Repairers
2144,51-4061.00,"Model Makers, Metal and Plastic"
2144,51-4111.00,Tool and Die Makers
2144,51-9162.00,Computer Numerically Controlled Tool Programmers
2144,17-2131.00,Materials Engineers
2144,17-2199.00,"Engineers, All Other"
2145,17-2041.00,Chemical Engineers
2145,19-1012.00,Food Scientists and Technologists
2145,19-2031.00,Chemists
2145,19-4031.00,Chemical Technicians
2145,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
2145,17-2031.00,Bioengineers and Biomedical Engineers
2145,17-2199.09,Nanosystems Engineers
2145,17-3026.01,Nanotechnology Engineering Technologists and Technicians
2145,19-1021.00,Biochemists and Biophysicists
2145,19-4013.00,Food Science Technicians
2145,29-1031.00,Dietitians and Nutritionists
2145,17-2199.00,"Engineers, All Other"
2145,17-2171.00,Petroleum Engineers
2145,17-2131.00,Materials Engineers
2145,11-9199.01,Regulatory Affairs Managers
2145,13-1041.07,Regulatory Affairs Specialists
2145,19-2032.00,Materials Scientists
2146,17-2171.00,Petroleum Engineers
2146,19-4031.00,Chemical Technicians
2146,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
2146,47-5011.00,"Derrick Operators, Oil and Gas"
2146,47-5012.00,"Rotary Drill Operators, Oil and Gas"
2146,47-5023.00,"Earth Drillers, Except Oil and Gas"
2146,47-5071.00,"Roustabouts, Oil and Gas"
2146,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
2146,17-2141.01,Fuel Cell Engineers
2146,17-2131.00,Materials Engineers
2146,19-2032.00,Materials Scientists
2146,19-5011.00,Occupational Health and Safety Specialists
2146,19-5012.00,Occupational Health and Safety Technicians
2149,11-9199.10,Wind Energy Development Managers
2149,13-1081.01,Logistics Engineers
2149,17-2031.00,Bioengineers and Biomedical Engineers
2149,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
2149,17-2111.02,Fire-Prevention and Protection Engineers
2149,17-2112.01,Human Factors Engineers and Ergonomists
2149,17-2112.02,Validation Engineers
2149,17-2121.00,Marine Engineers and Naval Architects
2149,17-2131.00,Materials Engineers
2149,17-2141.01,Fuel Cell Engineers
2149,17-2161.00,Nuclear Engineers
2149,17-2199.03,"Energy Engineers, Except Wind and Solar"
2149,17-2199.07,Photonics Engineers
2149,17-2199.08,Robotics Engineers
2149,17-2199.09,Nanosystems Engineers
2149,17-2199.10,Wind Energy Engineers
2149,17-2199.11,Solar Energy Systems Engineers
2149,19-2032.00,Materials Scientists
2149,19-5011.00,Occupational Health and Safety Specialists
2149,29-1181.00,Audiologists
2149,19-5012.00,Occupational Health and Safety Technicians
2149,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
2149,33-2021.00,Fire Inspectors and Investigators
2149,17-3022.00,Civil Engineering Technologists and Technicians
2149,15-1221.00,Computer and Information Research Scientists
2149,17-3026.01,Nanotechnology Engineering Technologists and Technicians
2149,19-1021.00,Biochemists and Biophysicists
2149,19-1029.02,Molecular and Cellular Biologists
2149,17-2199.00,"Engineers, All Other"
2149,17-3029.08,Photonics Technicians
